ligand,receptor
A2M,LRP1
A4,FPR2
A4,HG2A
A4,PLXA4
A4,SORL
A4,TNR21
AANAT,MTNR1A
AANAT,MTNR1B
ACE,AGTR2
ACE,BDKRB2
ACE2,SLC6A19
ACE2,TIGIT
ACKR1,CCR5
ACKR3,CXCR4
ACP4,VSTM2B
ACTR2,ADRB2
ACTR2,LDLR
ACTR2,LRP2
ACVR2B,DLK1
ACVRL1,ACVR2A
ACVRL1,CDH5
ACVRL1,TGFBR1
ADA,DPP4
ADAM10,AXL
ADAM10,CADM1
ADAM10,CD44
ADAM10,CLDN11
ADAM10,DDR1
ADAM10,EFNA3
ADAM10,EPHA3
ADAM10,GPNMB
ADAM10,IL6R
ADAM10,MET
ADAM10,NOTCH1
ADAM10,NOTCH2
ADAM10,NRCAM
ADAM10,TREM2
ADAM10,TSPAN10
ADAM10,TSPAN12
ADAM10,TSPAN14
ADAM10,TSPAN15
ADAM10,TSPAN17
ADAM10,TSPAN33
ADAM10,TSPAN5
ADAM11,ITGA4
ADAM12,ITGA9
ADAM12,ITGB1
ADAM12,SDC4
ADAM15,ITGA5
ADAM15,ITGA9
ADAM15,ITGAV
ADAM15,ITGB1
ADAM15,ITGB3
ADAM17,ERBB4
ADAM17,IL6R
ADAM17,ITGA5
ADAM17,ITGB1
ADAM17,MET
ADAM17,MUC1
ADAM17,NOTCH1
ADAM17,RHBDF2
ADAM2,CD9
ADAM2,ITGA6
ADAM2,ITGA9
ADAM2,ITGB1
ADAM2,ITGB7
ADAM20,IL1RAPL1
ADAM20,IL1RAPL2
ADAM21,CLEC12B
ADAM21,CRTAM
ADAM21,IGSF21
ADAM23,ITGA4
ADAM23,ITGA5
ADAM23,ITGB3
ADAM28,ITGA4
ADAM29,ITGA4
ADAM7,ITGA4
ADAM7,ITGB7
ADAM9,ITGA3
ADAM9,ITGA6
ADAM9,ITGAV
ADAM9,ITGB1
ADAM9,ITGB5
ADAMTS3,CCBE1
ADCYAP1,ADCYAP1R1
ADCYAP1,ADRB2
ADCYAP1,ADRB3
ADCYAP1,DPP4
ADCYAP1,GPR20
ADCYAP1,GPR84
ADCYAP1,PTH1R
ADCYAP1,RAMP2
ADCYAP1,RAMP3
ADCYAP1,SCTR
ADCYAP1,TSHR
ADCYAP1,VIPR1
ADCYAP1,VIPR2
ADGRA3,SIGLEC10
ADGRB1,RTN4R
ADGRB1,RTN4RL1
ADGRB1,RTN4RL2
ADGRE5,CD55
ADIPOQ,ADIPOR1
ADIPOQ,ADIPOR2
ADIPOQ,ASGR2
ADIPOQ,CLEC2D
ADIPOQ,CNR2
ADIPOQ,GPR152
ADIPOQ,GPR42
ADIPOQ,PROKR2
ADM,ACKR3
ADM,ADCYAP1R1
ADM,ADRB2
ADM,ADRB3
ADM,CALCR
ADM,CALCRL
ADM,DCLK3
ADM,GPR182
ADM,GPR20
ADM,GPR84
ADM,MRGPRX2
ADM,PTH1R
ADM,RAMP1
ADM,RAMP2
ADM,RAMP3
ADM,TSHR
ADM,VIPR1
ADM2,ADCYAP1R1
ADM2,ADRB2
ADM2,ADRB3
ADM2,CALCR
ADM2,CALCRL
ADM2,DCLK3
ADM2,GPR20
ADM2,GPR84
ADM2,PTH1R
ADM2,RAMP1
ADM2,RAMP2
ADM2,RAMP3
ADM2,TSHR
ADM2,VIPR1
ADML,RAMP3
ADO,ADORA1
ADO,ADORA2A
ADO,ADORA2B
ADO,ADORA3
ADORA1,GRM1
ADORA2A,GPR37
ADRA1A,CXCR4
ADRA1B,CXCR4
ADRB2,CCKBR
ADRB2,CCR7
ADRB2,CXCR4
ADRB2,GPR37
ADRB2,HNRNPK
ADRB2,MBP
ADRB2,MGLL
ADRB2,MOG
ADRB2,PRNP
ADRB2,SLC52A2
ADRB2,TMEM259
ADRB2,VAPA
ADRB2,YWHAQ
AFDN,EPHA7
AFDN,EPHB2
AFDN,EPHB3
AFDN,EPHB6
AFDN,F11R
AFDN,NECTIN1
AFDN,NECTIN2
AFDN,NECTIN3
AFDN,NECTIN4
AFDN,NRX2A
AFDN,NRX2B
AFDN,NRX3A
AFDN,NRX3B
AFDN,NRXN2
AFDN,NRXN3
AGER,CLEC14A
AGRIN,PTPRS
AGRN,ATP1A3
AGRN,DAG1
AGRN,ITGB1
AGRN,LRP1
AGRN,LRP2
AGRN,LRP4
AGRN,MUSK
AGRP,ACTHR
AGRP,MC1R
AGRP,MC3R
AGRP,MC4R
AGRP,MC5R
AGRP,SDC1
AGRP,SDC3
AGT,ADRA2A
AGT,AGTR1
AGT,AGTR1B
AGT,AGTR2
AGT,ENPEP
AGT,GRM7
AGT,LRP2
AGT,MAS1
AGT,MTNR1A
AGTR1,ATP1B1
AGTR1,CERS6
AGTR1,YWHAQ
AGTRAP,RACK1
AHSG,INSR
AIMP1,NTRK1
ALB,B2M
ALB,FCGRT
ALB,LRP2
ALB,VCAM1
ALCAM,ALCAM
ALCAM,CD6
ALCAM,CHL1
ALCAM,L1CAM
ALCAM,NRP1
ALKAL1,ALK
ALKAL1,LTK
ALKAL2,ALK
ALKAL2,LTK
ALOX5,ALOX5AP
ALOX5AP,ALOX5
AMBN,CD63
AMELX,CD63
AMELX,LAMP1
AMELX,LAMP2
AMELY,CD63
AMELY,LAMP1
AMELY,LAMP2
AMH,ACVR1
AMH,AMHR2
AMH,BMPR1A
AMH,BMPR1B
AMH,EGFR
AMH,GREM2
AMRP,SORT
ANF,ANPRA
ANG,EGFR
ANG,PLXNB2
ANGP1,TIE2
ANGP2,TIE2
ANGP4,TIE2
ANGPT1,ITGA5
ANGPT1,ITGAV
ANGPT1,ITGB1
ANGPT1,ITGB5
ANGPT1,TEK
ANGPT1,TIE1
ANGPT2,ITGA5
ANGPT2,ITGB1
ANGPT2,TEK
ANGPT2,TIE1
ANGPT4,TEK
ANGPT4,TIE1
ANGPTL1,ITGA1
ANGPTL1,ITGB1
ANGPTL1,LILRB2
ANGPTL1,LILRB3
ANGPTL1,PIRB
ANGPTL1,TEK
ANGPTL2,ITGA5
ANGPTL2,ITGB1
ANGPTL2,LILRB2
ANGPTL2,LILRB3
ANGPTL2,PIRB
ANGPTL2,TIE1
ANGPTL2,TLR4
ANGPTL3,ITGA5
ANGPTL3,ITGAV
ANGPTL3,ITGB3
ANGPTL4,CDH11
ANGPTL4,CDH5
ANGPTL4,GPIHBP1
ANGPTL4,ITGA5
ANGPTL4,ITGAV
ANGPTL4,ITGB1
ANGPTL4,ITGB3
ANGPTL4,SDC1
ANGPTL4,SDC2
ANGPTL4,SDC3
ANGPTL4,SDC4
ANGPTL4,TIE1
ANGPTL7,LILRB2
ANGPTL7,LILRB3
ANGPTL7,PIRB
ANGT,AGTR1
ANGT,AGTR2
ANOS1,FGFR1
ANOS1,SDC2
ANPEP,SELE
ANXA1,ADRA2A
ANXA1,DYSF
ANXA1,EGFR
ANXA1,FPR1
ANXA1,FPR2
ANXA1,FPR3
ANXA1,GRM7
ANXA1,LXA4
ANXA1,MTNR1A
ANXA2,DYSF
ANXA2,EGFR
ANXA2,ROBO4
ANXA2,TLR2
APC,PROCR
APEL,APJ
APELA,APLNR
APLN,ADRA2A
APLN,APLNR
APLN,GRM7
APLN,MTNR1A
APLP1,CNTN3
APLP2,PIGR
APLP2,PLXA4
APOA1,ABCA1
APOA1,CD14
APOA1,LDLR
APOA1,LRP1
APOA1,LRP2
APOA2,LDLR
APOA2,LRP1
APOA2,LRP2
APOA4,LDLR
APOA4,LRP1
APOA4,LRP2
APOB,ADRB2
APOB,APOBR
APOB,CALCR
APOB,ENO1
APOB,ITGAM
APOB,ITGB2
APOB,LDLR
APOB,LRP1
APOB,LRP2
APOB,LRP6
APOB,LRP8
APOB,LSR
APOB,MTTP
APOB,OLR1
APOB,TLR4
APOB,TLR6
APOB,TREM2
APOB,VLDLR
APOC1,VLDLR
APOC2,LDLR
APOC2,LRP1
APOC2,LRP2
APOC3,LDLR
APOC3,LRP1
APOC3,LRP2
APOC3,SDC2
APOC3,TLR2
APOC4,VLDLR
APOD,LEPR
APOE,ABCA1
APOE,CHRNA4
APOE,LDLR
APOE,LRP1
APOE,LRP2
APOE,LRP4
APOE,LRP5
APOE,LRP6
APOE,LRP8
APOE,LSR
APOE,SCARB1
APOE,SDC2
APOE,SORL1
APOE,TREM2
APOE,VLDLR
APOO,IL1RAPL1
APOO,IL1RAPL2
APP,ADRA2A
APP,AGER
APP,APLP1
APP,APLP2
APP,CAV1
APP,CD74
APP,CNTN3
APP,DCC
APP,FLT1
APP,FPR2
APP,GPC1
APP,GRM7
APP,LRP1
APP,LRP10
APP,LRP6
APP,MTNR1A
APP,NCSTN
APP,NGFR
APP,NOTCH2
APP,NTRK1
APP,PLD1
APP,PTGER2
APP,RPSA
APP,SLC45A3
APP,SORL1
APP,TNFRSF21
APP,TSPAN12
APP,TSPAN15
APP,VLDLR
APP_BACE1,TNFRSF21
APP_BACE1_PSEN1,FPR2
APRIO,AGRG6
AR,EGFR
AREG,EGFR
AREG,ERBB2
AREG,ERBB3
AREG,ICAM1
ARF1,CHRM3
ARF1,INSR
ARF1,PLD2
ARF4,EGFR
ARF6,PLD1
ARF6,SMAP1
ARPC5,ADRB2
ARPC5,LDLR
ARPC5,LRP2
ARRB2,ADRB2
ARRB2,ENG
