lncRNA,target
A1BG-AS1,ATP5F1D
A1BG-AS1,CCDC85B
A1BG-AS1,CIAO2B
A1BG-AS1,FKBP2
A1BG-AS1,MICOS13
A1BG-AS1,MRPL41
A1BG-AS1,NDUFB7
A1BG-AS1,NICOL1
A1BG-AS1,PCSK1N
A1BG-AS1,POLR2L
A1BG-AS1,TATDN1
A1BG-AS1,TMEM160
A2ML1-AS1,ACTR2
A2ML1-AS1,AP2A1
A2ML1-AS1,ANKS1A
A2ML1-AS1,ARSB
A2ML1-AS1,BANF1
A2ML1-AS1,B4GALT5
A2ML1-AS1,CAB39
A2ML1-AS1,CCNY
A2ML1-AS1,CDR2
A2ML1-AS1,CEP15
A2ML1-AS1,CLSTN3
A2ML1-AS1,CLSTN1
A2ML1-AS1,DDHD2
A2ML1-AS1,CYP7B1
A2ML1-AS1,DNER
A2ML1-AS1,DHX36
A2ML1-AS1,DLG3
A2ML1-AS1,DYNC1LI2
A2ML1-AS1,DNM3
A2ML1-AS1,DNASE1
A2ML1-AS1,ENOX1
A2ML1-AS1,ENTREP2
A2ML1-AS1,EXTL2
A2ML1-AS1,EXOC2
A2ML1-AS1,FBXL17
A2ML1-AS1,FCHSD2
A2ML1-AS1,FBXO11
A2ML1-AS1,GALNT17
A2ML1-AS1,GPR155
A2ML1-AS1,INTS10
A2ML1-AS1,HSPA9
A2ML1-AS1,KAT2A
A2ML1-AS1,KCNIP1
A2ML1-AS1,KCNQ1
A2ML1-AS1,KIF21A
A2ML1-AS1,LYRM4
A2ML1-AS1,LMBR1
A2ML1-AS1,MARCHF11
A2ML1-AS1,MOSMO
A2ML1-AS1,MTHFD1L
A2ML1-AS1,MTMR9
A2ML1-AS1,N4BP1
A2ML1-AS1,P2RX7
A2ML1-AS1,PDCD10
A2ML1-AS1,PDHX
A2ML1-AS1,PIR
A2ML1-AS1,PLPP1
A2ML1-AS1,PLPPR2
A2ML1-AS1,PPA2
A2ML1-AS1,PPP3CC
A2ML1-AS1,PPP6C
A2ML1-AS1,PRR16
A2ML1-AS1,RAB12
A2ML1-AS1,RALYL
A2ML1-AS1,RNF145
A2ML1-AS1,RIMKLB
A2ML1-AS1,RNF157
A2ML1-AS1,RNF144A
A2ML1-AS1,RUNDC3A
A2ML1-AS1,SEPTIN3
A2ML1-AS1,SLC2A13
A2ML1-AS1,SNX3
A2ML1-AS1,SOS2
A2ML1-AS1,TOX3
A2ML1-AS1,TRAPPC10
A2ML1-AS1,UBE2V2
A2ML1-AS1,UNC5A
A2ML1-AS1,UBASH3B
A2ML1-AS1,USP7
A2ML1-AS1,WSB2
A2ML1-AS1,ZCCHC7
A2ML1-AS1,ZFYVE28
ABHD15-AS1,AASDH
ABHD15-AS1,ABHD12
ABHD15-AS1,ABHD8
ABHD15-AS1,ABHD17B
ABHD15-AS1,ABHD6
ABHD15-AS1,ABI1
ABHD15-AS1,ABLIM2
A2ML1-AS1,ZNF804B
ABHD15-AS1,ACADVL
ABHD15-AS1,ABLIM3
ABHD15-AS1,ABCD3
ABHD15-AS1,ABCC5
ABHD15-AS1,ACAT1
ABHD15-AS1,ACOT7
ABHD15-AS1,ACBD3
ABHD15-AS1,ACTB
ABHD15-AS1,ACTG1
ABHD15-AS1,ABCA3
ABHD15-AS1,ABCB1
ABHD15-AS1,ABAT
ABHD15-AS1,ACTR10
ABHD15-AS1,ACYP2
ABHD15-AS1,AARS1
ABHD15-AS1,ACTR1A
ABHD15-AS1,ACO2
ABHD15-AS1,ACADM
ABHD15-AS1,ABCA8
ABHD15-AS1,ABCB9
ABHD15-AS1,ABHD18
ABHD15-AS1,AACS
ABHD15-AS1,ABCA10
ABHD15-AS1,ACTN4
ABHD15-AS1,ABCA2
ABHD15-AS1,ACSS1
ABHD15-AS1,ACAP3
ABHD15-AS1,ABCC8
ABHD15-AS1,ABTB3
ABHD15-AS1,ACBD6
ABHD15-AS1,ABLIM1
ABHD15-AS1,ACVR1
ABHD15-AS1,ACADSB
ABHD15-AS1,ABR
ABHD15-AS1,ACVR1B
ABHD15-AS1,ADAM11
ABHD15-AS1,ADORA1
ABHD15-AS1,ABL1
ABHD15-AS1,ADGRG1
ABHD15-AS1,ACTN1
ABHD15-AS1,ADIPOR2
ABHD15-AS1,ADK
ABHD15-AS1,ADRA1A
