lncRNA,target
A1BG-AS1,QKI
A1BG-AS1,RBMX
A1BG-AS1,SFPQ
A2ML1-AS1,ACIN1
A2ML1-AS1,FTO
A2ML1-AS1,MBNL1
A2ML1-AS1,SPPL3
A2ML1-AS1,EWSR1
A2ML1-AS1,RBFOX2
A2ML1-AS1,SFPQ
A2ML1-AS1,SRSF2
ADAMTS9-AS2,PHLPP2
ADAMTS9-AS2,AGO2
ADAMTS9-AS2,AGO3
ADAMTS9-AS2,AGO4
ADAMTS9-AS2,MBNL2
ADAMTS9-AS2,SPPL3
ADAMTS9-AS2,PTEN
ADAMTS9-AS2,FOXO1
ADAMTS9-AS2,HDAC9
ADAMTS9-AS2,RBMX
ADAMTS9-AS2,SFPQ
ADAMTS9-AS2,SMARCA4
APTR,SUZ12
AQP4-AS1,AGO2
AQP4-AS1,AGO3
AQP4-AS1,AGO4
AQP4-AS1,LARP4B
AQP4-AS1,MBNL2
AQP4-AS1,SPPL3
AQP4-AS1,EWSR1
AQP4-AS1,HDAC9
AQP4-AS1,RBMX
AQP4-AS1,SFPQ
AQP4-AS1,SMARCA4
ARHGAP26-AS1,EWSR1
ARHGAP26-AS1,SFPQ
ARHGEF26-AS1,FTO
ARHGEF26-AS1,MBNL2
ARHGEF26-AS1,QKI
ARHGEF26-AS1,SPPL3
ARHGEF26-AS1,SFPQ
ARHGEF26-AS1,SMARCA4
ASMTL-AS1,LAMC1
ASMTL-AS1,FOXO1
ASMTL-AS1,SFPQ
BCYRN1,BCL2L1
BCYRN1,PKM
BCYRN1,KRAS
BCYRN1,CELF4
BCYRN1,ELAVL3
BCYRN1,FTO
BCYRN1,MBNL2
BCYRN1,PCBP1
BCYRN1,PCBP2
BCYRN1,SPPL3
BCYRN1,ELAVL2
BCYRN1,EWSR1
BCYRN1,SFPQ
BDNF-AS,CDC42
BDNF-AS,AGO2
BDNF-AS,AGO3
BDNF-AS,AGO4
BDNF-AS,DDX3X
BDNF-AS,LARP4B
BDNF-AS,MBNL1
BDNF-AS,MBNL2
BDNF-AS,QKI
BDNF-AS,SPPL3
BDNF-AS,EWSR1
BDNF-AS,HDAC9
BDNF-AS,RBFOX2
BDNF-AS,RBMX
BDNF-AS,SFPQ
BDNF-AS,SMARCA4
BDNF-AS,YTHDC1
BHLHE40-AS1,CELF4
BHLHE40-AS1,ELAVL3
BHLHE40-AS1,ELAVL2
BHLHE40-AS1,HDAC9
BHLHE40-AS1,RBMX
BHLHE40-AS1,SFPQ
BHLHE40-AS1,SMARCA4
CASC15,VCAN
CASC15,CDH2
CASC15,BCL2
CASC15,CTNNB1
CASC2,PLXNC1
CASC2,FBXW7
CASC2,FBXL3
CASC2,KANK1
CASC2,TIMP3
CASC2,CDH2
CASC2,BCL2
CASC2,CDK19
CASC2,AGO2
CASC2,AGO3
CASC2,AGO4
CASC2,DDX3X
CASC2,MBNL2
CASC2,SPPL3
CASC2,STAT3
CASC2,MTOR
CASC2,PTEN
CASC2,CTNNB1
CASC2,MAPK1
CASC2,MAPK8
CASC2,APC
CASC2,ZEB1
CASC2,HNRNPD
CASC2,RBFOX2
CASC2,SFPQ
CASC2,SMARCA4
CBR3-AS1,CDH2
CBR3-AS1,TJP1
CBR3-AS1,CELF4
CBR3-AS1,ELAVL3
CBR3-AS1,LARP4B
CBR3-AS1,SPPL3
CBR3-AS1,SMAD3
CBR3-AS1,ELAVL2
CBR3-AS1,EWSR1
CBR3-AS1,HDAC9
CBR3-AS1,SFPQ
CBR3-AS1,SSB
CD27-AS1,CELF4
CD27-AS1,ELAVL3
CD27-AS1,SPPL3
CD27-AS1,ELAVL2
CD27-AS1,SFPQ
CD27-AS1,SRSF2
CECR7,AGO2
CECR7,AGO3
CECR7,AGO4
CECR7,SPPL3
CECR7,EWSR1
CECR7,RBFOX2
CECR7,SFPQ
CHRM3-AS2,MBNL2
CHRM3-AS2,SPPL3
CHRM3-AS2,RBFOX2
CHRM3-AS2,SFPQ
CPB2-AS1,AGO2
CPB2-AS1,AGO3
CPB2-AS1,AGO4
CPB2-AS1,MBNL2
CPB2-AS1,SFPQ
CTBP1-DT,MAP3K3
CTBP1-DT,FOXO1
CTBP1-DT,PTEN
CYP1B1-AS1,CELF4
CYP1B1-AS1,ELAVL3
CYP1B1-AS1,ELAVL2
CYP1B1-AS1,EWSR1
CYP1B1-AS1,RBFOX2
CYP1B1-AS1,SFPQ
CYTOR,NRP1
CYTOR,BCL2
CYTOR,ERBB4
CYTOR,CDK14
CYTOR,CDK13
CYTOR,FYN
CYTOR,RAB10
CYTOR,TPD52
CYTOR,PTEN
CYTOR,EGFR
CYTOR,CTNNB1
CYTOR,PIK3CA
CYTOR,PTMA
CYTOR,SIRT2
DACT3-AS1,CELF4
DACT3-AS1,ELAVL3
DACT3-AS1,LARP4B
DACT3-AS1,ELAVL2
DACT3-AS1,EWSR1
DACT3-AS1,RBM39
DACT3-AS1,SFPQ
DACT3-AS1,SSB
DANCR,ROCK1
DANCR,RAB1A
DANCR,TIMP2
DANCR,TIMP3
DANCR,CDH2
DANCR,MMP16
DANCR,JAK2
DANCR,MSI2
DANCR,FTO
DANCR,LARP4B
DANCR,MBNL2
DANCR,QKI
DANCR,SPPL3
DANCR,PTEN
DANCR,CTNNB1
DANCR,MDM2
DANCR,FOXO1
DANCR,ZEB1
DANCR,AKT2
DANCR,PIK3CA
DANCR,ILF3
DANCR,KLF12
DANCR,SOX5
DANCR,STAT3
DANCR,EWSR1
DANCR,RBFOX2
DANCR,RBMX
DANCR,SFPQ
DHRS4-AS1,DDX3X
DHRS4-AS1,ELAVL1
DHRS4-AS1,QKI
DHRS4-AS1,EWSR1
DHRS4-AS1,YTHDC1
DIAPH2-AS1,AGO2
DIAPH2-AS1,AGO3
DIAPH2-AS1,AGO4
DIAPH2-AS1,SPPL3
DIAPH2-AS1,EWSR1
DIAPH2-AS1,HDAC9
DIAPH2-AS1,RBMX
DIAPH2-AS1,SFPQ
DIAPH2-AS1,SMARCA4
DIAPH2-AS1,SRSF2
DICER1-AS1,ATG5
DICER1-AS1,CELF4
DICER1-AS1,ELAVL1
DICER1-AS1,ELAVL3
DICER1-AS1,SPPL3
DICER1-AS1,ELAVL2
DICER1-AS1,EWSR1
DICER1-AS1,SFPQ
DIO2-AS1,ACIN1
DIO2-AS1,AGO2
DIO2-AS1,AGO3
DIO2-AS1,AGO4
DIO2-AS1,CELF4
DIO2-AS1,ELAVL3
DIO2-AS1,MBNL2
DIO2-AS1,ELAVL2
DIO2-AS1,EWSR1
DIO2-AS1,HDAC9
DIO2-AS1,SFPQ
DIO2-AS1,SMARCA4
DISC1FP1,AGO2
DISC1FP1,AGO3
DISC1FP1,AGO4
DISC1FP1,FTO
DISC1FP1,MBNL2
DISC1FP1,SPPL3
DISC1FP1,EWSR1
DISC1FP1,HDAC9
DISC1FP1,RBFOX2
DISC1FP1,RBMX
DISC1FP1,SFPQ
DISC1FP1,SMARCA4
DISC1FP1,SRSF2
DISC1FP1,SSB
DISC1FP1,YTHDC1
DLEU1,KPNA3
DLEU1,RANBP2
DLEU1,BCL2
DLEU1,IGF1R
DLEU1,DDX5
DLEU1,MEF2D
DLEU1,MTOR
DLEU2,TRIM13
DLEU2,ZEB2
DLEU2,SMAD2
DLGAP1-AS3,SFPQ
DLGAP1-AS4,CELF4
DLGAP1-AS4,DDX3X
DLGAP1-AS4,ELAVL3
DLGAP1-AS4,MBNL2
DLGAP1-AS4,SPPL3
DLGAP1-AS4,ELAVL2
DLGAP1-AS4,EWSR1
DLGAP1-AS4,RBMX
DLGAP1-AS4,SFPQ
DLGAP1-AS4,SMARCA4
DLGAP1-AS5,CELF4
DLGAP1-AS5,ELAVL3
DLGAP1-AS5,SPPL3
DLGAP1-AS5,ELAVL2
DLGAP1-AS5,RBMX
DLGAP1-AS5,SFPQ
DLGAP1-AS5,SSB
DLX6-AS1,ERP44
DLX6-AS1,ARPP19
DLX6-AS1,CADM1
DLX6-AS1,DDX3X
DLX6-AS1,NECTIN1
DLX6-AS1,SPPL3
DLX6-AS1,PTEN
DLX6-AS1,POU2F1
DLX6-AS1,PIK3CA
DLX6-AS1,MTOR
DLX6-AS1,EWSR1
DLX6-AS1,SFPQ
DLX6-AS1,SSB
DNAJC27-AS1,CELF4
DNAJC27-AS1,ELAVL3
DNAJC27-AS1,FTO
DNAJC27-AS1,LARP4B
DNAJC27-AS1,MBNL2
DNAJC27-AS1,SPPL3
DNAJC27-AS1,ELAVL2
DNAJC27-AS1,SFPQ
DNAJC27-AS1,SSB
DNAJC3-DT,DNAJC3
DPP10-AS1,TIMP3
DPYD-AS1,ACIN1
DPYD-AS1,CELF4
DPYD-AS1,DDX3X
DPYD-AS1,ELAVL3
DPYD-AS1,MBNL2
DPYD-AS1,ELAVL2
DPYD-AS1,EWSR1
DPYD-AS1,SFPQ
DRAIC,NFIB
DRAIC,NFKB1
EIF3J-DT,CTNND2
ELDR,ILF3
ELDR,EGFR
EMX2OS,CELF4
EMX2OS,ELAVL3
EMX2OS,FTO
EMX2OS,QKI
EMX2OS,TCF12
EMX2OS,AKT3
EMX2OS,ELAVL2
EMX2OS,SFPQ
ENTPD1-AS1,AGO2
ENTPD1-AS1,AGO3
ENTPD1-AS1,AGO4
ENTPD1-AS1,CELF4
ENTPD1-AS1,ELAVL3
ENTPD1-AS1,FTO
ENTPD1-AS1,LARP4B
ENTPD1-AS1,MBNL2
ENTPD1-AS1,QKI
ENTPD1-AS1,SPPL3
ENTPD1-AS1,ELAVL2
ENTPD1-AS1,EWSR1
ENTPD1-AS1,HDAC9
ENTPD1-AS1,RBFOX2
ENTPD1-AS1,RBMX
ENTPD1-AS1,SFPQ
ENTPD1-AS1,SMARCA4
ENTPD3-AS1,AGO2
ENTPD3-AS1,AGO3
ENTPD3-AS1,AGO4
ENTPD3-AS1,CELF4
ENTPD3-AS1,DDX3X
ENTPD3-AS1,ELAVL3
ENTPD3-AS1,SPPL3
ENTPD3-AS1,ELAVL2
ENTPD3-AS1,EWSR1
ENTPD3-AS1,HDAC9
ENTPD3-AS1,SFPQ
ENTPD3-AS1,SMARCA4
EPB41L4A-AS1,FTO
EPB41L4A-AS1,LARP4B
EPB41L4A-AS1,RC3H1
EPB41L4A-AS1,SPPL3
EPB41L4A-AS1,HDAC2
EPB41L4A-AS1,NPM1
EPB41L4A-AS1,EWSR1
EPB41L4A-AS1,RBFOX2
EPB41L4A-AS1,RBM39
EPB41L4A-AS1,SFPQ
EPB41L4A-AS1,YTHDC1
